date,code,close,name,industry,hs300_close,year_month,cpi_yoy,m2_yoy,return,hs300_return
2020-11-24,000002,4828.64,万科A,房地产,4974.286,2020-11,0.5,10.5,-0.005124126662971684,-0.006142024808257762
2020-11-25,000002,4822.09,万科A,房地产,4910.7,2020-11,0.5,10.5,-0.0013564896119818703,-0.012782940104368756
2020-11-26,000002,4840.42,万科A,房地产,4919.591,2020-11,0.5,10.5,0.0038012563017280065,0.0018105361761053818
2020-11-27,000002,4928.13,万科A,房地产,4980.765,2020-11,0.5,10.5,0.01812032840125455,0.01243477354113387
2020-11-30,000002,4809.0,万科A,房地产,4960.252,2020-11,0.5,10.5,-0.02417346944987253,-0.004118443652732062
2020-12-01,000002,4815.55,万科A,房地产,5067.098,2020-12,-0.5,10.7,0.001362029527968378,0.02154043786485027
2020-12-02,000002,4865.29,万科A,房地产,5067.145,2020-12,-0.5,10.7,0.010329038219933251,9.2755261493771e-06
2020-12-03,000002,4835.18,万科A,房地产,5057.06,2020-12,-0.5,10.7,-0.006188736950931917,-0.0019902726288669736
2020-12-04,000002,4717.37,万科A,房地产,5065.916,2020-12,-0.5,10.7,-0.024365173581955668,0.0017512151329033276
2020-12-07,000002,4640.13,万科A,房地产,5022.235,2020-12,-0.5,10.7,-0.016373530166173045,-0.00862252749552117
2020-12-08,000002,4610.02,万科A,房地产,5009.879,2020-12,-0.5,10.7,-0.006489042332865624,-0.002460259227216488
2020-12-09,000002,4541.95,万科A,房地产,4942.699,2020-12,-0.5,10.7,-0.014765662621854303,-0.01340950549903508
2020-12-10,000002,4531.47,万科A,房地产,4940.525,2020-12,-0.5,10.7,-0.002307378989200526,-0.0004398406619541273
2020-12-11,000002,4515.76,万科A,房地产,4889.629,2020-12,-0.5,10.7,-0.0034668661604292383,-0.010301739187636882
